CIK,Company,Type,Date,Period of Report,SIC,State of Inc,State,Fiscal Year End,Basename,gvkey,sich,insbnk,understatement,option,Misstatement_BAO,act,ap,at,ceq,che,cogs,csho,dlc,dltis,dltt,dp,ib,invt,ivao,ivst,lct,lt,ni,ppegt,pstk,re,rect,sale,sstk,txp,txt,xint,prcc_f,dch_wc,ch_rsst,dch_rec,dch_inv,soft_assets,ch_cs,ch_cm,ch_roa,issue,bm,dpi,reoa,EBIT,ch_fcf,Misstatement_AA,Misstatement,restatement_year
1018840,ABERCROMBIE & FITCH CO /DE/,10-K,2009-03-27,2009-01-31,5651.0,DE,DE,131.0,1018840_2009,63643,5651.0,0.0,0.0,0.0,0,1235.846,150.134,2821.866,1827.917,712.469,806.276,87.986,0.0,48.056,71.213,238.752,78.953,310.645,141.794,32.356,449.372,993.949,0.254,2362.492,0.0,2174.717,90.865,2928.626,2.048,9.352,40.557,6.6,31.54,-0.016227026,-0.06446331,0.01331735,-0.021790648,0.306668708,-0.183592787,-0.057736297,-0.100451806,1.0,0.65869021,0.861728999,0.77066629,0.016801294,-0.003720251,0,0,
103379,V F CORP,10-K,2009-03-03,2009-01-03,2320.0,PA,PA,101.0,103379_2009,11060,2300.0,0.0,0.0,0.0,0,2629.356,373.186,6470.657,3815.151,731.549,3871.415,110.285,248.632,0.0,938.494,153.707,461.271,958.639,17.138,0.0,1092.583,2657.372,461.271,1601.608,0.0,1840.367,776.14,7220.286,62.59,31.996,196.215,85.902,73.24,-0.038375376,-0.012281428,-0.011645837,-0.029951664,0.792026219,-0.060142337,-0.057067074,-0.022100585,1.0,0.472331542,0.916929718,0.284417332,0.114886015,-0.009645299,0,0,
1037461,BJS WHOLESALE CLUB INC,10-K,2009-03-27,2009-01-31,5331.0,DE,DE,201.0,1037461_2009,65105,5399.0,0.0,0.0,0.0,0,1172.627,665.907,2166.087,1033.367,58.752,8968.068,53.794,0.608,0.0,0.54,112.777,132.51,930.289,0.0,0.0,1006.079,1132.72,132.111,1524.0,0.0,1462.373,128.137,10186.981,13.235,18.98,90.533,0.951,33.79,-0.001571335,0.022057431,0.00173802,0.033799934,0.528831021,0.016494751,0.035504106,-0.003057663,1.0,0.568502735,1.003117519,0.675122006,0.103225309,-0.023626378,0,0,
1038074,SILICON LABORATORIES INC,10-K,2009-02-11,2009-01-03,3674.0,DE,DE,1231.0,1038074_2009,133288,3674.0,0.0,0.0,0.0,0,523.998,28.759,742.838,629.796,410.223,141.57,45.772,0.0,0.0,0.0,19.687,73.092,31.512,24.676,388.601,88.639,113.042,73.092,97.731,0.0,501.529,56.128,441.02,25.187,6.011,-4.126,0.18,48.38,0.021894794,0.415472945,0.029235972,0.004709297,0.410358652,-0.022431083,-0.058929405,0.061953243,1.0,0.284402981,0.845472555,0.675152591,0.093083553,-0.3567245,0,0,
1042809,"A.C. Moore Arts & Crafts, Inc.",10-K,2009-03-13,2009-01-03,5945.0,PA,PA,103.0,1042809_2009,65569,5945.0,0.0,0.0,0.0,0,181.298,37.047,265.469,160.074,45.952,265.394,24.852,19.0,0.0,0.0,16.22,-25.903,122.058,0.0,0.0,84.671,105.395,-25.903,182.132,0.0,23.488,0.3,468.889,9.853,0.0,-5.665,1.417,2.94,0.046375723,0.050996486,0.001072933,0.045395778,0.518248835,-0.123583926,0.113643672,-0.006320088,1.0,2.190847367,0.87956434,0.088477374,-0.11357635,-0.048607423,0,0,
1045810,NVIDIA CORP,10-K,2009-03-13,2009-01-25,3674.0,DE,DE,127.0,1045810_2009,117768,3674.0,0.0,0.0,0.0,0,2480.83,344.527,3585.918,2665.14,1728.227,2042.232,561.466,1.184,0.0,24.45,196.664,-67.987,330.674,6.63,1281.006,784.378,920.778,-67.987,1088.483,0.0,1908.354,374.963,3326.445,138.029,0.0,-14.307,3.32,15.39,-0.047716439,0.069473067,0.016298369,-0.059729163,0.358578473,-0.133318826,-0.523893366,-0.011138108,1.0,0.308430946,0.891641956,0.532180044,-0.02202337,-0.080413802,0,0,
1051251,J CREW GROUP INC,10-K,2009-03-23,2009-01-31,5600.0,DE,DE,131.0,1051251_2009,116104,5600.0,0.0,0.0,0.0,0,519.315,127.733,738.558,375.878,298.107,830.62,63.779,0.0,0.0,49.229,51.765,123.36,190.231,0.0,0.0,235.343,362.68,123.36,348.584,0.0,-233.731,0.0,1578.042,8.513,0.0,82.517,5.694,39.21,-0.076257406,-0.001106209,-0.034185986,0.004713218,0.332859437,0.131841985,0.134485587,0.088270443,1.0,0.15030463,0.854707267,-0.31646939,0.286464976,0.103508885,0,0,
105319,WEIGHT WATCHERS INTERNATIONAL INC,10-K,2009-03-04,2009-01-03,7200.0,VA,VA,1230.0,105319_2009,145308,7200.0,0.0,0.0,0.0,0,199.951,28.371,1087.509,-736.512,46.137,606.364,77.041,215.0,0.0,1238.0,27.875,177.344,32.488,0.0,0.0,536.055,1820.779,177.344,110.441,0.0,947.831,39.622,1398.913,0.05,0.176,115.585,66.722,29.16,-0.02391967,0.128994682,0.001615122,-0.00695724,0.924437407,-0.108300837,-0.013325948,-0.02816939,1.0,-0.327846383,0.906350762,0.78457252,0.330710826,-0.153592485,0,0,
1053374,IPASS INC,10-K,2010-03-16,2009-12-31,7374.0,DE,DE,201.0,1053374_2009,153728,7389.0,0.0,0.0,0.0,0,76.521,15.179,89.563,47.986,41.772,98.981,61.538,0.0,0.0,0.0,5.78,-13.492,0.0,0.0,3.799,38.851,41.577,-13.492,30.75,0.0,-166.132,27.023,172.264,0.198,0.0,-0.674,0.0,1.04,-0.121587223,-0.445853945,-0.062664327,0.0,0.477284146,-0.075189873,0.048087838,0.404020485,1.0,0.749786873,1.057955802,-1.854917767,-0.158167993,1.176233532,0,0,
1057379,"HACKETT GROUP, INC.",10-K,2009-03-18,2009-01-02,8742.0,FL,FL,1228.0,1057379_2009,111000,7370.0,0.0,0.0,0.0,0,46.34,3.674,136.535,98.252,15.004,98.088,40.676,0.0,0.0,0.0,2.92,-6.812,0.0,0.0,0.0,34.905,38.283,-6.812,25.814,0.0,-143.748,28.653,142.7,0.41,0.0,-0.212,0.0,2.78,0.043797349,0.158335153,0.023478991,0.0,0.837836452,-0.289409488,-0.278370011,-0.183268416,1.0,0.868877128,1.121341572,-1.052828945,-0.051444685,-0.341074541,0,0,
1060232,"COLLECTIVE BRANDS, INC.",10-K,2009-03-30,2009-01-31,5661.0,DE,DE,202.0,1060232_2009,62667,5661.0,0.0,0.0,0.0,0,1045.1,195.9,2284.3,735.2,393.5,2022.4,64.156,6.9,2.1,842.4,141.0,82.6,442.9,0.0,0.0,385.9,1520.4,82.7,1410.1,0.0,699.8,95.5,3307.9,8.2,0.0,9.4,60.8,19.68,-0.026192786,-0.011597143,-0.000881912,-0.021650939,0.624523924,-0.03518335,-0.044090058,0.065910969,1.0,0.582295087,0.901875388,0.306352055,0.066935166,0.078005115,0,0,
1060822,CARTERS INC,10-K,2009-02-27,2009-02-27,2300.0,DE,DE,1231.0,1060822_2009,150278,2300.0,0.0,0.0,0.0,0,675.668,97.546,1208.599,556.024,335.041,953.049,58.082,3.503,0.0,331.02,32.274,115.64,214.0,0.0,0.0,170.617,652.575,115.64,207.519,0.0,320.113,82.094,1626.098,5.102,7.702,68.188,12.004,26.25,-0.025611911,-0.027979032,-0.002989392,0.009359876,0.651565159,0.042878538,0.12009307,0.025532971,1.0,0.364689003,0.950204757,0.26486287,0.162032237,0.061572742,0,0,
1084230,PEPSIAMERICAS INC/IL/,10-K,2009-03-04,2009-01-03,2086.0,DE,DE,1231.0,1084230_2009,5824,2086.0,0.0,0.0,0.0,0,952.0,185.1,5092.7,1731.7,193.9,2470.1,121.6,141.5,345.4,1990.8,184.3,181.2,197.5,1.7,0.0,669.3,3162.4,181.2,2843.1,0.0,778.9,413.8,4421.3,7.5,0.0,99.3,70.9,29.26,0.017700162,0.029132337,0.021346632,-0.008081366,0.711253363,-0.130846583,-0.041150593,-0.007982012,1.0,0.486703826,1.038099357,0.152944411,0.069000727,-0.03985493,0,0,
1088120,ISECURETRAC CORP,10-K,2010-03-16,2009-12-31,4899.0,DE,DE,1231.0,1088120_2009,13424,3812.0,0.0,0.0,0.0,0,2.997,0.555,9.83,-23.312,0.72,2.402,10.816,2.304,2.0,13.127,2.123,-1.923,0.285,0.0,0.0,5.562,18.689,-1.923,15.69,14.453,-78.84,1.877,12.339,0.0,0.0,0.0,1.213,0.36,-0.173576054,-0.329202998,-0.058028657,0.009280506,0.47293998,0.403348554,-0.090330952,0.227530895,1.0,-5.987015122,1.037498633,-8.02034588,-0.072227874,0.602315027,0,0,
1089063,DICKS SPORTING GOODS INC,10-K,2009-03-20,2009-01-31,5940.0,DEType,DEType,,1089063_2009,150139,5940.0,0.0,0.0,0.0,0,1222.361,431.366,2245.333,1083.227,225.611,3096.499,114.809,0.978,0.0,141.265,100.4,135.359,895.776,10.88,0.0,795.675,1162.106,135.359,1233.151,0.0,555.364,43.855,4412.835,10.574,8.687,87.817,4.543,22.37,-0.072387073,0.020197267,-0.009300411,0.019471221,0.604550862,0.073557629,-0.113334805,0.081812746,1.0,0.421771819,1.064807403,0.247341486,0.10141881,0.060742328,0,0,
1091325,"CHINA YIDA HOLDING, CO.",10-K,2010-03-23,2009-12-31,7310.0,,,1231.0,1091325_2009,137371,4833.0,0.0,0.0,0.0,0,7.401,0.057,86.014,77.75,5.777,7.642,17.062,1.731,3.049,2.495,2.938,25.493,0.0,0.0,0.0,5.769,8.264,25.493,72.14,0.0,56.036,0.192,51.229,0.0,2.535,8.931,0.214,13.91,0.007754806,0.435307844,0.001636335,0.0,0.122201037,0.652463468,0.05244713,-0.108774809,1.0,0.327599575,1.077629097,0.651475341,0.402701886,-0.332830575,0,0,
109198,TJX COMPANIES INC /DE/,10-K,2009-03-31,2009-01-31,5651.0,DE,DE,127.0,109198_2009,11672,5651.0,0.0,0.0,0.0,0,4803.856,1507.892,7463.977,2889.276,1745.243,14532.629,409.386,2.355,774.263,790.169,435.8,1213.572,2532.318,0.0,130.636,2894.986,4574.701,1213.572,5332.495,0.0,2479.89,148.126,20288.444,169.862,136.737,737.99,49.278,38.01,-0.072864832,-0.03952788,0.000678189,-0.012757162,0.459759857,0.067609039,-0.007179103,0.040082756,1.0,0.185677027,0.956724054,0.332247808,0.268066207,0.083316358,0,0,
1096325,INTERSIL CORP/DE,10-K,2009-03-03,2009-01-02,3674.0,DE,DE,1228.0,1096325_2009,130762,3674.0,0.0,0.0,0.0,0,552.816,31.496,1165.781,1031.086,361.165,255.24,122.816,0.0,0.0,0.0,33.963,38.565,81.236,63.937,13.498,134.695,134.695,38.565,295.551,0.0,-734.188,73.633,611.398,5.409,30.702,7.599,0.56,15.34,-0.025755739,-0.086898547,0.006111237,-0.024709366,0.602484515,-0.263400241,-0.162391799,0.619971777,1.0,0.547286306,0.94463232,-0.629782095,0.040079569,1.044610026,0,0,
1096481,ANGIOTECH PHARMACEUTICALS INC,10-K,2010-03-16,2009-12-31,3841.0,,,1231.0,1096481_2009,66060,3841.0,0.0,0.0,0.0,0,129.698,5.11,370.059,-313.287,57.322,109.611,85.138,0.0,0.0,575.0,37.026,-22.868,35.541,0.0,7.78,63.186,683.346,-22.868,80.415,0.0,-819.716,29.257,279.678,0.003,10.858,6.037,38.682,1.24,0.000582584,-0.056184923,0.00988539,-0.008084676,0.718420576,-0.01597926,-0.063761,0.904952835,1.0,-2.967544533,0.99107112,-2.215095431,0.059047341,1.958342602,0,0,
110471,WOLVERINE WORLD WIDE INC /DE/,10-K,2009-03-04,2009-01-03,3140.0,MI,MI,103.0,110471_2009,11566,3140.0,0.0,0.0,0.0,0,503.538,42.262,707.933,482.033,160.439,647.529,49.593,0.538,0.0,1.077,15.932,61.912,158.065,0.0,0.0,132.851,225.9,61.912,303.148,0.0,663.633,163.755,1101.056,7.867,18.887,23.78,0.652,27.22,-0.03592885,-0.002558437,-0.006110527,-0.056402176,0.668907933,-0.103283997,-0.14981559,-0.056855829,1.0,0.357082256,0.99932148,0.78457252,0.121966344,-0.046845918,0,0,
1108426,PNM RESOURCES INC,10-K,2010-03-01,2009-12-31,4911.0,TX,TX,1231.0,1108426_2009,8807,4911.0,0.0,0.0,0.0,0,578.205,111.432,5359.921,1649.717,14.693,1307.853,86.673,200.125,345.242,1565.206,147.949,54.043,50.631,307.994,0.052,563.273,3509.316,124.844,4963.401,111.529,359.827,262.539,1647.744,1.245,0.0,28.818,122.205,12.65,0.0121407,0.020879912,-0.001884618,0.000214461,0.375524005,-0.164591646,1.829847843,0.066641074,1.0,1.504648634,1.017872418,0.067132892,0.051468483,0.041474976,0,0,
1108524,SALESFORCE COM INC,10-K,2009-03-09,2009-01-31,7372.0,DE,DE,131.0,1108524_2009,157855,7372.0,0.0,0.0,0.0,0,1706.159,14.791,2460.201,1043.802,1241.965,208.125,127.152,7.249,567.094,458.532,49.8,80.719,0.0,491.371,230.659,908.13,1403.535,80.719,176.815,0.0,105.131,320.956,1305.583,93.856,8.424,57.689,2.0,63.55,-0.019423237,-0.075374179,0.02761456,0.0,0.45871252,0.214415569,0.029564099,0.007170069,1.0,0.129175269,0.868332297,0.042732687,0.05707176,0.09430351,0,0,
1114200,AMERICAN MEDICAL SYSTEMS HOLDINGS INC,10-K,2009-03-03,2009-01-03,3842.0,DE,DE,1229.0,1114200_2009,138741,3842.0,0.0,0.0,0.0,0,204.341,9.114,1047.151,545.359,50.538,82.186,74.716,0.0,0.0,346.229,23.186,84.838,30.276,0.0,19.868,71.265,501.792,84.838,93.515,0.0,145.144,102.59,519.27,10.19,4.495,51.197,35.426,19.29,-0.008395754,0.131388822,0.009092612,-0.007861401,0.90960425,-0.010217079,0.063020455,0.041725349,1.0,0.37838738,1.39318114,0.138608472,0.163740473,-0.090967228,0,0,
1114483,"GREATBATCH, INC.",10-K,2009-03-03,2009-01-02,3690.0,DE,DE,1231.0,1114483_2009,140073,3690.0,0.0,0.0,0.0,0,253.17,34.395,830.543,379.724,37.864,318.202,23.157,30.45,12.0,258.972,37.2,-9.001,106.609,11.9,0.0,133.244,450.819,-9.001,272.682,0.0,88.41,81.488,521.821,0.212,0.403,-9.176,20.071,19.23,-0.013538763,0.01124876,-0.00580658,-0.006781885,0.769470094,0.017537996,0.097039671,-0.035255084,1.0,0.852720035,0.915235231,0.106448432,0.002280436,-0.04406856,0,0,
1128928,FLOWERS FOODS INC,10-K,2009-03-04,2009-01-03,2000.0,GA,GA,1229.0,1128928_2009,4809,2050.0,0.0,0.0,0.0,0,338.955,92.692,1351.442,715.945,18.948,1390.088,91.46,25.763,848.326,225.905,81.023,130.297,96.433,94.457,0.0,221.772,623.416,130.297,1255.163,0.0,372.852,182.324,2600.849,2.614,0.459,74.047,11.787,23.76,0.025665826,0.063184414,0.003140476,0.007183089,0.54010309,0.093537705,0.026688831,-0.005525555,1.0,0.329459494,0.939254341,0.275891973,0.159926212,-0.055003058,0,0,
1132484,NETEZZA CORP,10-K,2009-03-26,2009-01-31,3571.0,,,131.0,1132484_2009,177654,3570.0,0.0,0.0,0.0,0,206.041,12.604,283.597,197.593,104.718,56.91,60.882,0.0,0.0,0.0,7.138,4.19,28.708,49.769,64.08,74.951,86.004,4.19,27.719,0.0,-45.355,53.45,190.635,2.291,0.0,0.688,0.09,9.09,0.092379843,0.339080036,0.070025956,0.037971743,0.60088788,-0.009630087,0.311474256,-0.122306298,1.0,0.357041552,0.786742561,-0.159927644,0.017517816,-0.439840282,0,0,
1135711,NETLOGIC MICROSYSTEMS INC,10-K,2010-02-26,2009-12-31,3674.0,,,1231.0,1135711_2009,160232,3674.0,0.0,0.0,0.0,0,136.323,17.937,532.111,425.955,44.278,74.327,28.742,0.0,48.0,0.0,24.924,-47.162,45.113,0.0,0.0,69.533,106.156,-47.162,29.816,0.0,-123.143,25.137,174.689,46.843,0.0,-3.06,1.666,46.26,0.080217822,0.681039027,0.043078513,0.080747466,0.891834598,0.078909436,-0.050752018,-0.137118094,1.0,0.320362082,1.160919013,-0.231423519,-0.091251637,-0.81149326,0,0,
1138830,AUTHENTEC INC,10-K,2009-03-18,2009-01-02,3674.0,DEType,DEType,,1138830_2009,177650,3674.0,0.0,0.0,0.0,0,58.951,2.458,66.179,59.827,52.375,17.058,28.722,0.0,0.0,0.0,1.311,-17.403,2.245,3.173,24.893,5.838,6.352,-17.403,8.449,0.0,-93.523,3.208,34.066,0.028,0.0,0.0,0.0,2.21,-0.011748039,0.046363989,-0.010384785,-0.047112442,0.162528899,-0.474757677,-0.12627076,-0.233139272,1.0,0.942519348,0.751419065,-1.413182429,-0.262968615,-0.279560551,0,0,
1158449,ADVANCE AUTO PARTS INC,10-K,2009-03-04,2009-01-03,5531.0,DE,DE,217.0,1158449_2009,145977,5531.0,0.0,0.0,0.0,0,1887.618,966.274,3072.963,1282.365,100.018,2617.48,93.623,33.436,173.4,202.927,150.917,270.373,1631.867,0.0,0.0,1466.027,1790.598,270.373,2014.383,0.0,1280.569,92.56,5412.623,35.402,54.861,161.282,23.337,40.48,-0.050813413,0.066058995,-0.001538174,0.002908385,0.609381564,0.055990066,-0.036582409,0.007057442,1.0,0.338367466,0.997792971,0.416721256,0.148062961,-0.05534677,0,0,
